score,r_id,,,User id ,Device id
1172,1443,,,,
810,4455,,,,
5,4752,,,,
1283,6254,,,,
1021,8845,,,,
39,10696,,,,
1268,12820,,,,
1102,14964,,,,
963,16246,,,,
1097,19882,,,,
829,19982,,,,
29,20942,,,,
71,21335,,,,
905,21922,,,,
352,22048,,,,
355,22125,,,,
974,22259,,,,
1059,22548,,,,
1156,22833,,,,
1044,28928,,,,
1018,29133,,,,
1195,29617,,,,
736,29662,,,,
373,30022,,,,
1162,30695,,,,
169,32159,,,,
73,32257,,,,
135,32326,,,,
943,33195,,,,
1275,33838,,,,
211,35552,,,,
149,35579,,,,
776,37473,,,,
175,37583,,,,
178,37719,,,,
769,37720,,,,
205,37734,,,,
949,37971,,,,
267,38113,,,,
1226,40798,,,,
662,40802,,,,
122,41826,,,,
47,42250,,,,
63,44052,,,,
1066,44061,,,,
774,44629,,,,
1282,45004,,,,
846,47472,,,,
1218,48118,,,,
818,48609,,,,
1078,49012,,,,
389,49626,,,,
42,50001,,,,
748,50446,,,,
1119,50614,,,,
801,70,,,,
1248,78,,,,
585,94,,,,
23,109,,,,
821,143,,,,
1251,152,,,,
850,153,,,,
946,189,,,,
835,199,,,,
404,200,,,,
609,205,,,,
628,217,,,,
173,221,,,,
109,224,,,,
1260,226,,,,
976,230,,,,
1228,238,,,,
1042,239,,,,
1184,240,,,,
668,241,,,,
148,242,,,,
188,245,,,,
632,248,,,,
665,255,,,,
1120,258,,,,
494,262,,,,
616,275,,,,
1250,299,,,,
405,319,,,,
318,321,,,,
2,341,,,,
327,381,,,,
656,405,,,,
115,406,,,,
1221,420,,,,
64,447,,,,
202,450,,,,
975,456,,,,
994,506,,,,
978,543,,,,
1129,546,,,,
1284,549,,,,
1137,555,,,,
1063,611,,,,
268,618,,,,
197,619,,,,
942,627,,,,
1187,630,,,,
992,631,,,,
806,645,,,,
342,655,,,,
1202,656,,,,
58,666,,,,
1196,671,,,,
1154,675,,,,
1151,676,,,,
744,745,,,,
673,763,,,,
1130,780,,,,
870,788,,,,
952,813,,,,
105,834,,,,
376,836,,,,
1016,837,,,,
349,838,,,,
861,883,,,,
350,888,,,,
367,923,,,,
968,954,,,,
926,965,,,,
782,971,,,,
804,1015,,,,
1166,1016,,,,
412,1023,,,,
16,1036,,,,
739,1043,,,,
1225,1057,,,,
1148,1078,,,,
1005,1106,,,,
813,1110,,,,
1197,1155,,,,
215,1214,,,,
285,1239,,,,
1032,1311,,,,
377,1312,,,,
1089,1317,,,,
898,1324,,,,
191,1348,,,,
1036,1368,,,,
1112,1369,,,,
983,1417,,,,
1245,1420,,,,
907,1449,,,,
222,1466,,,,
238,1473,,,,
170,1495,,,,
421,2580,,,,
207,2620,,,,
906,2652,,,,
849,2667,,,,
957,2687,,,,
735,2725,,,,
1293,2736,,,,
924,2751,,,,
945,2762,,,,
666,2767,,,,
1,2773,,,,
470,2777,,,,
1227,2797,,,,
566,2812,,,,
877,2868,,,,
70,2879,,,,
88,2881,,,,
8,2883,,,,
1010,2884,,,,
950,2898,,,,
11,2901,,,,
504,2902,,,,
667,2906,,,,
1223,2949,,,,
858,2953,,,,
155,2958,,,,
1155,2964,,,,
