r_id,u_id
19231,965
5874,613
37473,4732
32326,2942
46622,2942
35552,6679
36963,8961
52087,5352
31397,8933
35928,8933
8033,10098
22992,6163
50776,3315
49717,7302
19616,974
32218,1872
44466,2776
44864,5040
45700,5040
420,5478
30606,5478
49746,5478
40130,9159
24399,6214
44481,7071
51465,3357
33311,2010
44916,7103
49630,7103
49247,3122
33594,10860
29919,1746
51021,11535
9256,3774
20942,4043
32578,1952
41089,11182
22259,4154
33838,4154
42484,2704
22338,4161
31397,10762
32107,6454
22375,4172
22799,4172
21335,8255
25364,1544
32107,4484
47903,5106
50362,7374
46293,5079
23721,1510
47903,11350
20469,8163
24833,8163
22182,1353
34803,10905
37583,2317
21336,6031
28473,38
37734,38
37531,6753
19477,10249
37962,49
44052,49
47985,49
549,5499
31347,6428
22833,10529
2687,1839
31464,1839
37776,1839
51933,1839
51960,1839
52087,1839
33838,8805
12820,822
47903,822
48118,55
20898,1139
50288,1139
38448,2482
32159,6460
50414,7389
549,5496
40644,4936
20200,10279
32326,8686
33594,8686
24833,4272
48609,9832
34988,6652
21488,8263
20469,4281
25364,4281
13398,836
37957,6813
47979,3003
4936,4940
40644,4940
51099,4940
19982,5893
8095,1975
8896,1975
32961,1975
109,7528
3094,10034
4941,10052
40457,2585
19271,3941
8845,10101
21188,1207
48132,9460
35552,8896
50346,7370
50481,5301
45431,11309
20854,1131
37583,1131
32441,1945
20384,8158
20996,8158
11563,790
4167,5650
16365,10220
35552,6676
44052,6676
40130,4897
22658,6141
871,5372
34989,6653
37583,6653
12805,7998
1110,341
33100,6529
35552,2205
4764,570
33498,570
51000,570
9795,3786
21182,3786
31393,3786
20941,1147
39037,1147
7570,10073
20101,10073
245,9869
48118,9786
50066,5270
50001,3169
43994,9296
37971,6826
381,177
33498,10857
25736,4300
28580,1646
31393,10754
42843,2721
50903,2721
21406,10404
24833,4260
33594,4260
29617,1702
23764,4249
354,5471
45734,2909
22259,8311
23048,6168
50776,3311
29924,1750
888,313
29888,10711
50876,10711
42189,7034
143,84
32218,84
22607,1433
50066,11485
33594,8785
41067,8785
19982,8116
45527,8116
39091,4875
37962,11045
50001,11443
32326,6476
28473,8507
31469,6445
46753,6445
49181,6445
20189,1049
10239,766
10696,5746
20942,10357
31397,4475
26889,4319
2665,3622
29931,3622
33594,2036
44052,2036
51756,11545
813,7656
43312,2723
32381,1943
35021,1943
24769,4255
35651,4255
50414,3265
18229,10233
21912,8271
12997,3856
33334,4560
45004,4560
29673,1728
50776,11526
37583,8974
2797,5597
21590,10422
20282,1060
21922,6055
20189,3974
26716,1562
32441,6509
35444,2200
20330,10315
21573,10421
23048,10421
37583,10421
22667,8381
50001,3175
13911,841
12275,10144
45004,5054
19882,1008
33803,2050
32326,8666
33311,8666
50050,11472
20416,10324
7585,650
788,5524
29673,1720
13398,8019
49172,8019
50612,5305
50621,5305
47488,11342
12820,3850
506,7609
45019,7609
239,137
18182,949
38492,3302
50776,3302
50143,3236
37971,2421
212,7540
1312,3583
32326,3583
20376,4918
24833,4918
40457,4918
50043,4918
45004,9352
47488,9352
48118,9352
26707,4305
30008,4305
31469,4482
37720,4482
37952,4482
52087,4482
13398,5790
38113,4834
46829,2963
47119,2963
51021,2963
33126,1988
33594,1988
456,9896
47488,7174
2953,10009
31346,6427
49012,9515
41477,11195
52421,3417
44563,3358
44864,3358
50927,3358
51465,3358
35926,10949
48569,7225
836,305
2965,305
14964,305
50481,305
38448,2480
52431,9737
44466,9304
29617,6344
29617,6347
31346,6347
1369,9968
16769,5854
20298,10303
20737,10303
27452,10303
321,9878
78,4428
29924,4428
12805,10156
788,299
50776,3305
3000,5634
33838,5634
29133,4381
32326,4381
35579,6688
41477,11188
12613,3833
49957,5220
20275,8134
39756,11126
22607,8369
20189,8126
813,302
35444,2199
50776,2199
50001,5228
2981,3660
22050,6061
2965,489
21243,489
22175,4135
52593,3437
21918,1310
51099,11541
37808,4775
20991,8214
20376,1092
32380,4515
22259,2275
36841,2275
16769,2791
