Uid,r_id
0,19231
1,5874
2,37473
3,32326
4,46622
5,35552
6,36963
7,52087
8,31397
9,35928
10,8033
11,22992
12,50776
13,49717
14,19616
15,32218
16,44466
17,44864
18,45700
19,420
20,30606
21,49746
22,40130
23,24399
24,44481
25,51465
26,33311
27,44916
28,49630
29,49247
30,33594
31,29919
32,51021
33,9256
34,20942
35,32578
36,41089
37,22259
38,33838
39,42484
40,22338
41,31397
42,32107
43,22375
44,22799
45,21335
46,25364
47,32107
48,47903
49,50362
50,46293
51,23721
52,47903
53,20469
54,24833
55,22182
56,34803
57,37583
58,21336
59,28473
60,37734
61,37531
62,19477
63,37962
64,44052
65,47985
66,549
67,31347
68,22833
69,2687
70,31464
71,37776
72,51933
73,51960
74,52087
75,33838
76,12820
77,47903
78,48118
79,20898
80,50288
81,38448
82,32159
83,50414
84,549
85,40644
86,20200
87,32326
88,33594
89,24833
90,48609
91,34988
92,21488
93,20469
94,25364
95,13398
96,37957
97,47979
98,4936
99,40644
100,51099
101,19982
102,8095
103,8896
104,32961
105,109
106,3094
107,4941
108,40457
109,19271
110,8845
111,21188
112,48132
113,35552
114,50346
115,50481
116,45431
117,20854
118,37583
119,32441
120,20384
121,20996
122,11563
123,4167
124,16365
125,35552
126,44052
127,40130
128,22658
129,871
130,34989
131,37583
132,12805
133,1110
134,33100
135,35552
136,4764
137,33498
138,51000
139,9795
140,21182
141,31393
142,20941
143,39037
144,7570
145,20101
146,245
147,48118
148,50066
149,50001
150,43994
151,37971
152,381
153,33498
154,25736
155,28580
156,31393
157,42843
158,50903
159,21406
160,24833
161,33594
162,29617
163,23764
164,354
165,45734
166,22259
167,23048
168,50776
169,29924
170,888
171,29888
172,50876
173,42189
174,143
175,32218
176,22607
177,50066
178,33594
179,41067
180,19982
181,45527
182,39091
183,37962
184,50001
185,32326
186,28473
187,31469
188,46753
189,49181
190,20189
191,10239
192,10696
193,20942
194,31397
195,26889
196,2665
197,29931
198,33594
199,44052
200,51756
201,813
202,43312
203,32381
204,35021
205,24769
206,35651
207,50414
208,18229
209,21912
210,12997
211,33334
212,45004
213,29673
214,50776
215,37583
216,2797
217,21590
218,20282
219,21922
220,20189
221,26716
222,32441
223,35444
224,20330
225,21573
226,23048
227,37583
228,22667
229,50001
230,13911
231,12275
232,45004
233,19882
234,33803
235,32326
236,33311
237,50050
238,20416
239,7585
240,788
241,29673
242,13398
243,49172
244,50612
245,50621
246,47488
247,12820
248,506
249,45019
250,239
251,18182
252,38492
253,50776
254,50143
255,37971
256,212
257,1312
258,32326
259,20376
260,24833
261,40457
262,50043
263,45004
264,47488
265,48118
266,26707
267,30008
268,31469
269,37720
270,37952
271,52087
272,13398
273,38113
274,46829
275,47119
276,51021
277,33126
278,33594
279,456
280,47488
281,2953
282,31346
283,49012
284,41477
285,52421
286,44563
287,44864
288,50927
289,51465
290,35926
291,48569
292,836
293,2965
294,14964
295,50481
296,38448
297,52431
298,44466
299,29617
300,29617
301,31346
302,1369
303,16769
304,20298
305,20737
306,27452
307,321
308,78
309,29924
310,12805
311,788
312,50776
313,3000
314,33838
315,29133
316,32326
317,35579
318,41477
319,12613
320,49957
321,20275
322,39756
323,22607
324,20189
325,813
326,35444
327,50776
328,50001
329,2981
330,22050
331,2965
332,21243
333,22175
334,52593
335,21918
336,51099
337,37808
338,20991
339,20376
340,32380
341,22259
342,36841
343,16769
344,38113
345,44599
346,50066
347,31393
348,2984
349,7842
350,21912
351,51857
352,41646
353,49012
354,32326
355,31347
356,2652
357,28462
358,38113
359,42189
360,11563
361,46668
362,2981
363,26725
364,29425
365,20028
366,37962
367,33753
368,383
369,555
370,22050
371,31469
372,52087
373,1420
374,11596
375,28928
376,36885
377,45490
378,1443
379,2736
380,46858
381,506
382,41935
383,46986
384,47472
385,36879
386,44629
387,1155
388,450
389,19982
390,44864
391,39174
392,22175
393,30447
394,20469
395,29673
396,37583
397,971
398,33838
399,48132
400,48118
401,49012
402,619
403,45004
404,35488
405,50621
406,11596
407,32798
408,7815
409,49172
410,23092
411,22541
412,39273
413,50612
414,44481
415,34989
416,46287
417,22259
418,22175
419,38492
420,30007
421,22335
422,22335
423,48261
424,49012
425,2999
426,48609
427,37951
428,37962
429,40538
430,506
431,21480
432,35680
433,24746
434,4941
435,7842
436,50066
437,1417
438,44876
439,41089
440,33594
441,50001
442,45004
443,48118
444,41925
445,37962
446,4941
447,37808
448,49247
449,50007
450,30022
451,49012
452,37962
453,49012
454,19882
455,21481
456,21335
457,45700
458,15247
459,791
460,21335
461,42137
462,30673
463,45004
464,22259
465,28465
466,49524
467,30606
468,20189
469,40611
470,29133
471,29995
472,32326
473,20996
474,20376
475,22259
476,32326
477,22108
478,20282
479,50002
480,22125
481,29662
482,22259
483,39796
484,224
485,20376
486,21330
487,20384
488,28473
489,49012
490,32703
491,42669
492,4455
493,50002
494,12275
495,27452
496,29673
497,221
498,4950
499,52495
500,2949
501,19092
502,341
503,35552
504,23764
505,29133
506,45019
507,37583
508,26254
509,22050
510,22548
511,14167
512,50066
513,40064
514,12997
515,32381
516,9166
517,42217
518,20862
519,1021
520,30695
521,41089
522,8845
523,16246
524,29133
525,42189
526,37726
527,4879
528,40134
529,965
530,33838
531,37971
532,40644
533,31393
534,51960
535,20276
536,24769
537,42250
538,48566
539,45700
540,38207
541,42189
542,50043
543,52087
544,50050
545,35552
546,36767
547,48118
548,4776
549,13171
550,29635
551,45371
552,45004
553,7815
554,39091
555,41477
556,49437
557,31464
558,44864
559,52848
560,29950
561,34822
562,50351
563,49012
564,10696
565,22175
566,20941
567,49746
568,12820
569,22667
570,50143
571,4879
572,29133
573,37951
574,2868
575,2981
576,42217
577,9795
578,10696
579,31393
580,38113
581,555
582,19623
583,22259
584,22743
585,633
586,22259
587,40644
588,30524
589,19616
590,33331
591,34273
592,11563
593,245
594,24746
595,25364
596,47472
597,50414
598,11596
599,22259
600,40611
601,35552
602,51939
603,20469
604,20524
605,22314
606,49845
607,52412
608,34767
609,14199
610,2736
611,40611
612,44639
613,48118
614,22743
615,34986
616,221
617,10696
618,27113
619,16769
620,20854
621,21481
622,26913
623,45004
624,34822
625,25736
626,15955
627,30695
628,44883
629,44465
630,32326
631,49012
632,22175
633,33594
634,50819
635,44599
636,32792
637,32381
638,34390
639,40288
640,41843
641,38113
642,22992
643,41826
644,46373
645,32326
646,22259
647,46560
648,26880
649,49524
650,40176
651,26971
652,26971
653,971
654,10226
655,34641
656,4653
657,38113
658,50903
659,20276
660,33328
661,34140
662,49247
663,50240
664,32961
665,2736
666,49012
667,22797
668,50066
669,46888
670,24769
671,46753
672,24380
673,49172
674,50414
675,29620
676,46753
677,46235
678,50776
679,38462
680,37951
681,52289
682,14151
683,47472
684,25364
685,11596
686,11596
687,33311
688,38252
689,37441
690,1078
691,24769
692,9242
693,23029
694,34214
695,32326
696,33594
697,36879
698,40288
699,50143
700,29735
701,22050
702,33195
703,29919
