Uid,r_id
11584,9256
11584,22116
11585,19771
11586,35164
11586,37720
11586,49012
11586,50414
11587,20991
11587,32326
11587,33594
11587,37962
965,19231
11588,49012
11589,37583
11590,1015
11590,20942
11591,31554
11592,78
613,671
11593,35669
11594,20991
11595,39273
11596,50614
11597,21182
11597,48569
11598,788
11599,13398
11599,20469
11599,22314
11599,33803
11599,37361
11599,51857
11600,16769
11600,23028
11600,30007
11600,31397
11600,37970
11600,42484
11600,44061
11600,44166
11600,44599
11600,45004
11600,48118
11600,50271
4732,12613
4732,49074
11601,37583
11602,42189
11603,21171
11604,20282
11604,40288
11604,42219
11604,49012
11605,12275
11605,24769
2942,19748
2942,20282
2942,20384
2942,23353
2942,29673
2942,31469
2942,32326
2942,32839
2942,33311
2942,33594
2942,37962
2942,42137
2942,42545
2942,42569
2942,46622
11606,31397
11606,38291
11607,29464
11608,20330
11608,47903
11609,20941
11609,21335
11610,29133
11611,16246
11611,23764
11611,38983
11611,49853
11611,50066
11612,4950
11612,32197
11613,28614
11613,31393
11614,41477
8961,3094
11615,22745
11615,40457
11615,41232
11616,49181
11617,666
11617,42189
11618,1110
11618,1155
11618,14249
11618,14286
11618,20101
11618,33838
11618,44466
11619,35552
11619,37583
11620,49012
8933,2667
8933,31397
8933,35928
11621,2949
11621,44711
11622,42189
11623,29617
11624,48118
11625,35552
11626,23092
11627,41818
11627,42438
11627,44971
11628,40960
11629,1348
11630,42189
11631,52428
11632,33594
11632,49178
11632,51756
11633,20189
11633,24833
11634,837
11635,40130
11636,27452
11637,19882
11638,20996
11639,793
11639,15960
11639,26332
11639,30606
11639,33195
11639,35669
11639,43027
11639,45004
11640,38760
11641,35444
11642,37952
11643,20282
11643,49012
11643,50001
11644,20469
11644,35545
11645,19616
11645,26889
11646,45371
11647,20854
11648,33594
11648,37962
11648,40611
11648,40792
11648,42569
11648,46622
11649,248
11649,9875
11650,543
6163,25425
11651,42189
11652,29995
11652,50481
11653,7579
11654,23344
11655,39694
11656,22125
11657,2981
11657,46753
11658,29924
3315,21396
11659,37939
11659,37974
11659,45004
11660,35669
11660,50414
11661,51851
11662,30008
11663,40611
11664,33795
11665,20524
11665,37361
11665,40134
11665,42164
11665,51857
11666,2840
11666,2941
11666,32326
11666,33594
11666,37583
11667,2881
11667,21330
11667,31050
7302,923
974,18327
974,19060
974,20854
974,22259
974,22338
974,22593
974,36433
974,37934
11668,20941
11668,27452
11669,22658
11669,41826
11669,42129
11669,51099
11669,51162
1872,42219
11670,20942
11671,48566
11672,1369
11672,32326
11672,37720
11673,21182
11673,29617
11673,31347
11674,12709
11674,17005
11674,22175
11674,33334
11674,48118
11675,1443
11675,51960
11676,2667
11677,32951
11677,38492
11677,40134
11678,666
11678,36767
11679,37583
11680,21335
11681,35552
11681,46560
11682,1417
11683,2965
11683,22338
11683,22607
11683,33838
2776,1043
2776,9210
2776,9242
2776,29995
2776,50351
11684,883
11685,21753
5040,40176
11686,20259
11686,29626
11686,37556
11686,37726
11686,40287
11686,49957
11687,32120
9159,22799
9159,37583
9159,40130
11688,22375
11689,15798
11689,29924
11690,633
11690,27113
11691,50066
11692,40457
11693,10696
11694,13398
11694,34989
11694,39344
11694,40798
11695,19092
11696,24833
11696,34505
11696,35623
11697,34582
7071,788
7071,2620
7071,21423
7071,30022
7071,34803
7071,37679
7071,40644
7071,44481
11698,20941
11698,23048
11698,29834
11699,46753
11700,35250
11700,35552
11700,37583
11700,37939
11700,45004
11700,45019
11700,50010
11700,50819
11701,49012
11702,12820
11703,22593
11704,20369
11704,35651
3357,51465
11705,25425
11706,43964
11707,42189
11707,50143
11708,47488
11709,19982
11709,22833
2010,44052
11710,447
11710,4950
11710,34334
11711,21182
11711,49181
11712,4879
11712,35928
11712,40798
11712,41818
11713,46986
11714,3094
11714,41843
11714,41935
11714,50446
11715,49012
11716,20276
11717,5639
11717,8943
11717,37953
11717,50414
11717,50621
11717,52969
11718,20189
7103,3047
7103,35003
7103,35089
7103,49630
7103,50144
11719,20941
11720,39174
11721,37962
11722,221
11722,21330
11722,21753
11722,34582
11722,40801
11722,42484
11723,36418
11724,2953
11724,44533
11725,49012
11726,29924
11726,31050
11726,35651
11727,33311
11728,3094
11728,21921
11728,31393
11729,21480
11730,48566
11731,490
11732,41826
11733,34140
11733,40457
11733,50926
11734,21335
11735,25425
11736,49425
11737,2881
11737,13940
11737,15836
11738,555
11739,245
11739,7582
11739,43994
11739,50001
11740,36611
11741,22607
11741,37583
11742,50414
11743,33195
11743,36885
10860,506
10860,33594
10860,38252
10860,44599
10860,49012
11744,1420
11745,50001
11746,50143
11747,22833
11747,35669
1746,788
1746,22667
1746,45004
1746,49012
11748,28473
11749,50066
11750,22175
11750,23029
11750,37583
11750,39694
11751,33195
11752,38822
11753,48132
11754,48118
11755,50002
11756,37583
11757,50776
11758,631
11758,38434
11759,32120
11760,109
11760,189
11760,2879
11760,2958
11760,20189
11760,37556
11761,645
11761,7570
11761,29950
11762,37556
11763,4871
11764,1155
11764,2901
11765,543
11765,645
11765,21131
11765,44629
11766,34505
11766,48132
4043,22375
11767,35552
11768,19695
11769,36767
11769,49012
11770,20384
11771,37720
11771,48118
11772,15990
11772,20376
11772,39273
11773,666
11774,50066
11775,145
11776,22833
11777,29995
11777,37679
11777,41843
11778,33334
11779,21182
4154,1417
11780,37952
11781,21182
11781,34273
11781,47985
11781,50240
11782,38252
11783,15247
11783,49415
11784,31393
11784,34582
11784,37583
11785,22259
11785,48329
11786,28928
11786,29834
11786,37720
11786,50143
11787,555
11787,33311
11787,33594
11788,2883
11788,4455
11788,19060
11788,22259
11788,22375
11788,22576
11788,33050
11788,44166
11789,38492
11790,14964
11790,37939
11790,37962
11790,48118
11791,1155
11791,20469
2704,21753
2704,29673
2704,42189
2704,45004
11792,20942
11793,50002
11794,1368
11794,20991
11794,49012
11795,242
11796,21406
11796,41843
11796,48782
11797,21182
11797,28473
11798,20941
11798,21335
11798,50143
11799,38926
11799,43637
11800,19271
11801,8033
11802,41646
10762,31397
10762,49746
11803,3052
11804,38274
11805,33334
11806,40176
4172,38434
11807,838
11808,40644
11809,21922
11809,26889
11810,14238
11811,15247
11812,39764
11813,32120
11814,152
11814,29995
11814,51099
11815,21335
11816,7547
11817,224
11818,20996
11818,28928
11818,34273
11818,52087
11819,14230
11819,51540
11820,33195
11821,22175
11822,12709
11823,34961
11823,36879
7374,37734
11824,20276
11824,43637
11825,44052
11826,41504
11827,7842
11828,23764
11828,33594
11828,35552
11829,29673
11830,37583
11831,19636
11832,258
11832,28580
11832,37720
11832,37726
11833,37971
11834,23085
11834,29924
11835,21182
11835,45004
11835,50001
11836,23425
11836,35488
11837,33727
11837,37962
11837,46622
11838,4776
11838,20282
11838,32326
11838,35552
11839,26721
11840,46293
11841,793
11841,1369
11841,20282
11841,31469
11841,33594
11841,37720
11841,44052
11841,49012
11842,35680
11843,29950
11844,31393
11844,32326
11844,34273
11844,39351
11845,4879
11846,39351
11846,51960
11847,22745
11847,29426
11847,41818
11848,4879
11848,51540
11849,14964
11849,40644
11850,30447
11850,39273
11851,20996
11851,21335
11851,29680
11852,21335
11853,20231
11854,42484
11855,813
11855,15247
11855,29924
11855,40130
1510,23764
11856,1112
11856,7582
11857,39349
11858,22833
11859,43312
11860,21335
11860,41818
11861,51960
11862,37361
11863,48609
11864,38016
11865,33195
11866,35651
11867,37583
11868,12809
11869,37952
11870,22259
11870,40538
11870,45004
11871,20941
11871,34273
11871,46735
11871,49074
11872,15470
11872,19271
11873,44061
11873,45527
11874,37556
11875,5874
11876,18806
11877,40457
11878,506
11878,17005
11878,42189
11878,45004
11878,47488
11879,37962
11880,37583
11881,11596
11881,40121
11881,49074
11350,32380
8163,629
8163,18829
8163,23048
8163,30606
8163,33498
8163,37808
8163,38087
8163,38983
8163,42217
11882,41941
11883,35651
11883,36879
11884,30606
11884,40287
1353,21912
11885,21396
11886,19636
11887,12275
11888,2980
11889,2958
11889,11596
11889,35021
11890,28145
11891,35552
11891,45004
11891,50006
11892,50001
11893,44166
2317,22314
2317,34140
2317,38087
2317,45649
11894,189
11895,34582
11895,41818
11896,27452
11897,2906
11897,21639
11897,50351
11898,837
11899,2762
11899,31397
11899,49181
11899,50414
11900,50414
11901,555
11901,2884
11901,33311
11902,27138
11902,49123
11903,29673
11904,28928
11904,49012
11905,50001
11906,41818
11907,31397
11908,1155
11909,2881
11909,38207
11910,49012
38,28473
38,30378
38,30959
38,32578
38,33296
38,39037
38,50010
38,50050
38,51419
11911,22745
11912,676
11912,9795
11913,549
11914,224
11915,47325
11916,953
11917,29133
11918,50001
11919,37583
11920,9795
11920,37952
11921,48132
11922,4879
11923,22992
11924,543
11924,20094
11924,21753
11924,22382
11924,27452
11924,33594
11924,37720
11924,49746
49,3020
49,22357
49,33594
49,34273
49,37583
49,44052
11925,28462
11926,32326
11927,20941
11927,29465
11927,35926
11928,7570
11928,37556
11929,21182
11929,29617
11929,31347
11929,46622
11930,22259
11930,37962
11930,46735
5499,224
5499,813
5499,1443
5499,21753
5499,32704
5499,48233
11931,238
11932,25425
11933,37361
11933,37583
11933,41935
11933,49746
11934,1368
11935,153
11935,9885
11935,24037
11935,34273
11935,37952
11935,49717
11935,50414
11936,29617
6428,50001
10529,43312
10529,44052
11937,2898
11938,19060
11939,7570
11939,20189
11939,29950
11939,37556
11940,29673
1839,153
1839,341
1839,1443
1839,8943
1839,12613
1839,12805
1839,21182
1839,28462
1839,28614
1839,29617
1839,29673
1839,33796
1839,35651
1839,36879
1839,42217
1839,49144
1839,50612
1839,51465
11941,37536
11942,52495
11943,791
11943,16925
11943,19882
11943,22321
11943,22338
11943,34582
11943,37971
11943,40288
11943,42129
11944,22125
11945,29133
11946,33334
11946,35089
11947,39091
11948,26707
11949,4167
11950,9256
11951,20737
11951,48118
8805,30243
11952,22338
11952,22743
11952,37583
55,22175
55,48118
11953,32326
11954,37556
11955,34601
11956,245
11957,20942
11957,21335
11957,21481
11957,26913
11957,35926
11957,35941
11957,37556
11957,37726
11958,20854
11959,15955
11960,420
11961,47979
11962,20094
11963,28473
11964,38207
11965,954
11965,48215
11966,41830
11966,52499
1139,22357
1139,52495
11967,35680
11967,45004
11967,50007
11968,221
11968,37974
11968,48118
11969,46622
11970,11174
11971,7570
11971,51857
11972,22314
11973,555
11973,20282
11973,34273
11973,42189
11974,27452
2482,19882
2482,30606
2482,52431
11975,31393
11976,37583
11977,40611
11978,29617
11979,20469
11980,46858
11980,49626
11981,48884
11982,35680
7389,1348
7389,24769
7389,34490
7389,37808
7389,49181
11983,32381
11983,38291
11983,40801
11984,33594
11985,22175
11986,50414
11987,40130
11988,50143
11989,4923
5496,813
5496,38760
11990,25364
11990,36720
11991,20050
11992,33594
11993,70
11993,20942
11994,13398
11995,12997
11996,37361
11997,21912
10279,20200
11998,49012
11999,34582
8686,3248
8686,35552
8686,37536
8686,37679
8686,46753
12000,22175
12001,20854
12001,41818
12002,2965
12003,15247
12003,34989
12003,40798
12004,22607
12004,44376
12005,51857
12006,52495
12007,15612
12008,41089
12009,48118
12010,33594
12011,275
12011,40792
12012,549
12013,50001
12014,41067
12014,49957
12015,29499
12016,1348
12017,21330
12017,48132
12017,49845
12018,18024
12019,41925
12020,2884
8263,22259
12021,37962
4281,21336
4281,22799
4281,25364
4281,31050
12022,19623
12022,32326
12022,34946
12023,2773
12024,12809
12025,8943
12025,21594
12026,29995
12027,21396
12027,50001
12027,50143
12028,32209
12029,19771
12030,22833
12030,23653
12030,45527
12030,47962
12031,4923
12032,145
12032,666
12033,32257
12033,37953
12034,18327
12034,37361
12035,49012
12036,14167
12036,51960
836,13398
836,29888
12037,29888
12037,37361
12037,50876
12037,51857
12038,666
12039,29133
12040,28928
12041,43312
12042,627
12042,971
12043,21106
12043,44629
6813,13911
6813,31050
6813,41232
6813,42250
12044,18024
12044,49746
12045,15247
12046,50001
12047,1036
12047,20050
12047,32951
12047,40121
12048,22338
12048,29673
